Breed,Sterilized,Dewormed,Vaccinated,Health Status,Fur Length,Maturity Size,Gender,Type,Adopted,Age Bins,Videos,Photos,AdoptionSpeed,Primary Color,Secondary Color,Tertiary Color
Domestic Long Hair,Yes,Yes,Yes,Healthy,Long,Large,Male,Cat,Yes,"[60,255]",0,3,2,Black,Brown,White
Mixed Breed,Yes,Yes,No,Healthy,Medium,Medium,Female,Dog,Yes,"[0,2]",0,13,3,Black,,
Domestic Short Hair,Yes,Yes,Yes,Healthy,Small,Medium,Male,Cat,No,"[6,12]",0,1,4,Black,Brown,White
Mixed Breed,No,Yes,Yes,Healthy,Small,Medium,Male,Dog,Yes,"[0,2]",0,3,3,Brown,White,
Mixed Breed,Yes,Yes,Yes,Healthy,Medium,Medium,Female,Dog,No,"[12,24]",0,5,4,Brown,,
Mixed Breed,Not Sure,Not Sure,Not Sure,Minor Injury,Small,Small,Female,Dog,Yes,"[3,6]",0,0,3,Brown,White,
Domestic Medium Hair,No,Yes,Yes,Healthy,Medium,Small,Mixed,Cat,Yes,"[3,6]",0,15,2,Yellow,Gray,White
Domestic Short Hair,No,Yes,No,Healthy,Small,Medium,Male,Cat,No,"[3,6]",0,4,4,Black,White,
Mixed Breed,Yes,Yes,Yes,Healthy,Medium,Medium,Female,Dog,Yes,"[24,60]",0,2,2,Cream,,
Mixed Breed,No,No,No,Healthy,Medium,Large,Male,Dog,Yes,"[3,6]",0,3,1,Cream,,
American Shorthair,Not Sure,Not Sure,Not Sure,Healthy,Small,Small,Mixed,Cat,No,"[0,2]",0,1,4,Black,Gray,White
Domestic Short Hair,No,No,No,Healthy,Small,Medium,Female,Cat,Yes,"[0,2]",0,5,1,Yellow,,
Mixed Breed,Not Sure,Yes,Yes,Healthy,Small,Medium,Male,Dog,No,"[6,12]",0,2,4,Brown,Cream,
Mixed Breed,Yes,No,No,Healthy,Small,Medium,Female,Dog,No,"[60,255]",0,2,4,Brown,Cream,
Mixed Breed,No,No,No,Healthy,Medium,Medium,Male,Dog,Yes,"[0,2]",0,5,2,Black,Brown,
Spitz,No,Yes,Yes,Healthy,Long,Medium,Mixed,Dog,Yes,"[0,2]",0,21,3,Black,Golden,White
Shih Tzu,No,Yes,Yes,Healthy,Medium,Medium,Female,Dog,Yes,"[24,60]",0,5,1,Brown,Cream,
Domestic Short Hair,No,No,No,Healthy,Small,Medium,Female,Cat,No,"[3,6]",0,1,4,Brown,,
Domestic Short Hair,No,Yes,No,Healthy,Small,Small,Male,Cat,Yes,"[3,6]",0,1,2,Black,Golden,
Domestic Short Hair,No,No,No,Healthy,Small,Medium,Female,Cat,Yes,"[6,12]",0,1,2,Brown,White,
Mixed Breed,Yes,Yes,Yes,Healthy,Medium,Medium,Male,Dog,No,"[60,255]",0,3,4,Black,Golden,Gray
Mixed Breed,Yes,Yes,Yes,Healthy,Small,Medium,Female,Dog,No,"[24,60]",0,1,4,Black,Brown,
Mixed Breed,No,Yes,No,Healthy,Medium,Medium,Female,Dog,Yes,"[0,2]",0,1,3,Black,Brown,
Labrador Retriever,No,Not Sure,Yes,Healthy,Small,Small,Male,Dog,Yes,"[0,2]",0,5,1,Black,Brown,White
Mixed Breed,No,Yes,Yes,Healthy,Small,Small,Male,Dog,No,"[0,2]",0,3,4,Black,Brown,
Pit Bull Terrier,No,No,No,Healthy,Medium,Medium,Mixed,Dog,Yes,"[0,2]",0,5,2,Black,Brown,White
Mixed Breed,No,Yes,No,Healthy,Small,Medium,Female,Dog,Yes,"[0,2]",0,1,0,Brown,Cream,
Mixed Breed,No,Yes,Yes,Healthy,Small,Large,Female,Dog,No,"[0,2]",1,3,4,Black,,
Mixed Breed,Yes,Yes,Yes,Healthy,Small,Medium,Female,Dog,Yes,"[12,24]",0,3,3,Brown,,
Mixed Breed,No,Yes,Yes,Healthy,Medium,Medium,Male,Dog,Yes,"[0,2]",0,5,1,Brown,,
Mixed Breed,No,Yes,Yes,Healthy,Small,Medium,Female,Dog,Yes,"[0,2]",0,1,3,Brown,White,
Mixed Breed,No,No,Yes,Healthy,Small,Medium,Female,Dog,No,"[0,2]",0,1,4,Black,Brown,
Silky Terrier,Not Sure,Yes,Yes,Healthy,Long,Small,Male,Dog,Yes,"[3,6]",0,2,1,Black,Brown,
Mixed Breed,No,Yes,No,Healthy,Medium,Medium,Male,Dog,Yes,"[3,6]",0,1,2,Black,White,
Mixed Breed,No,Not Sure,Not Sure,Healthy,Medium,Medium,Male,Dog,Yes,"[3,6]",0,3,3,Cream,,
Domestic Medium Hair,No,Yes,No,Healthy,Medium,Medium,Female,Cat,Yes,"[6,12]",0,4,3,Cream,White,
Mixed Breed,No,No,No,Healthy,Medium,Medium,Female,Dog,Yes,"[0,2]",0,3,2,Black,Brown,
Bombay,No,No,No,Healthy,Long,Medium,Female,Cat,No,"[24,60]",0,2,4,Black,Brown,
Rottweiler,Not Sure,Not Sure,Not Sure,Healthy,Medium,Large,Male,Dog,Yes,"[0,2]",0,4,2,Black,Brown,
Mixed Breed,Yes,Yes,Yes,Healthy,Medium,Medium,Female,Dog,Yes,"[12,24]",3,11,3,Cream,,
Mixed Breed,No,Yes,Yes,Healthy,Small,Medium,Male,Dog,Yes,"[0,2]",4,18,3,Black,White,
Mixed Breed,No,No,No,Healthy,Small,Medium,Male,Dog,Yes,"[0,2]",0,5,3,Brown,,
Domestic Short Hair,No,No,No,Healthy,Medium,Small,Mixed,Cat,No,"[0,2]",0,3,4,Brown,Golden,White
Mixed Breed,No,No,No,Healthy,Small,Medium,Mixed,Dog,No,"[0,2]",0,0,4,Brown,White,
Domestic Short Hair,No,No,No,Minor Injury,Small,Large,Male,Cat,Yes,"[24,60]",0,12,3,Yellow,,
Domestic Short Hair,Yes,No,No,Healthy,Small,Medium,Female,Cat,No,"[24,60]",0,1,4,Brown,Yellow,
Mixed Breed,No,No,No,Healthy,Small,Medium,Male,Dog,Yes,"[0,2]",0,2,3,Black,Brown,
Silky Terrier,Yes,Yes,Not Sure,Healthy,Long,Small,Female,Dog,Yes,"[3,6]",0,3,3,Brown,,
Mixed Breed,No,No,No,Healthy,Small,Medium,Male,Dog,Yes,"[24,60]",0,3,3,Brown,White,
Domestic Medium Hair,No,Not Sure,Not Sure,Healthy,Medium,Medium,Male,Cat,Yes,"[3,6]",0,1,1,Black,White,
Domestic Long Hair,No,No,No,Healthy,Medium,Small,Mixed,Cat,Yes,"[0,2]",0,1,2,Cream,Gray,
Husky,Yes,Not Sure,Not Sure,Healthy,Medium,Medium,Female,Dog,Yes,"[24,60]",0,2,2,Black,Gray,White
Schnauzer,Yes,Yes,Yes,Healthy,Medium,Medium,Male,Dog,No,"[60,255]",0,3,4,Gray,,
Mixed Breed,No,Yes,Yes,Healthy,Medium,Medium,Female,Dog,Yes,"[0,2]",0,1,3,Black,Brown,White
Domestic Short Hair,No,Yes,Yes,Healthy,Small,Small,Female,Cat,Yes,"[3,6]",0,7,1,Brown,Golden,
Domestic Medium Hair,No,No,No,Healthy,Medium,Small,Male,Cat,Yes,"[0,2]",0,2,2,Golden,,
Domestic Short Hair,No,Yes,Yes,Healthy,Small,Medium,Mixed,Cat,Yes,"[0,2]",0,3,0,Black,White,
Mixed Breed,No,No,No,Healthy,Small,Medium,Female,Dog,Yes,"[0,2]",0,2,3,Black,Brown,
Domestic Short Hair,No,Yes,No,Healthy,Small,Medium,Female,Cat,Yes,"[0,2]",0,2,1,Gray,White,
Mixed Breed,No,Yes,Yes,Healthy,Small,Medium,Female,Dog,No,"[3,6]",0,4,4,Brown,,
Mixed Breed,No,No,No,Healthy,Small,Large,Female,Dog,Yes,"[0,2]",0,5,3,Black,Yellow,White
Tabby,Yes,No,Yes,Healthy,Medium,Medium,Female,Cat,No,"[12,24]",0,1,4,Golden,Gray,White
Domestic Short Hair,No,Yes,Yes,Healthy,Small,Medium,Female,Cat,Yes,"[3,6]",0,5,2,Black,White,
Mixed Breed,Not Sure,Not Sure,Not Sure,Healthy,Small,Large,Male,Dog,No,"[60,255]",0,3,4,Black,Brown,White
Mixed Breed,No,No,No,Healthy,Small,Medium,Female,Dog,No,"[3,6]",0,4,4,Brown,,
Domestic Medium Hair,No,No,No,Healthy,Medium,Small,Mixed,Cat,No,"[0,2]",0,2,4,Brown,Cream,White
Golden Retriever,No,Yes,Yes,Healthy,Medium,Large,Female,Dog,Yes,"[24,60]",0,4,1,Brown,Golden,Yellow
Domestic Short Hair,No,Yes,No,Healthy,Small,Small,Female,Cat,No,"[3,6]",0,3,4,Black,Brown,White
Persian,No,Yes,Yes,Healthy,Medium,Medium,Male,Cat,No,"[60,255]",0,0,4,Golden,,
Domestic Short Hair,Not Sure,Yes,No,Healthy,Small,Medium,Female,Cat,Yes,"[0,2]",0,4,1,Brown,Cream,White
Mixed Breed,No,Yes,Yes,Healthy,Medium,Medium,Mixed,Dog,Yes,"[3,6]",0,3,1,Black,Brown,White
Rottweiler,Yes,Yes,Yes,Healthy,Small,Large,Male,Dog,Yes,"[24,60]",0,4,2,Black,Cream,
Siberian Husky,No,No,Yes,Healthy,Medium,Medium,Male,Dog,Yes,"[12,24]",0,1,2,Black,Gray,White
Domestic Short Hair,No,Not Sure,No,Healthy,Small,Small,Mixed,Cat,Yes,"[0,2]",0,3,3,Black,Gray,White
Mixed Breed,Not Sure,Not Sure,Not Sure,Healthy,Small,Large,Mixed,Dog,Yes,"[0,2]",0,4,1,Black,Brown,Golden
Domestic Medium Hair,No,No,No,Healthy,Medium,Small,Male,Cat,Yes,"[0,2]",1,1,2,Black,White,
Collie,Yes,Yes,Yes,Healthy,Small,Medium,Male,Dog,Yes,"[3,6]",0,6,3,Cream,White,
German Shepherd Dog,Not Sure,Not Sure,Not Sure,Healthy,Medium,Medium,Female,Dog,Yes,"[24,60]",0,3,3,Black,Brown,
Mixed Breed,No,Yes,Yes,Healthy,Medium,Medium,Male,Dog,Yes,"[3,6]",0,3,1,Brown,,
Mixed Breed,Not Sure,Not Sure,Not Sure,Healthy,Small,Small,Female,Dog,No,"[3,6]",0,1,4,Brown,,
Mixed Breed,No,Yes,No,Healthy,Small,Medium,Female,Dog,No,"[3,6]",0,5,4,Black,,
Domestic Short Hair,Not Sure,Not Sure,Not Sure,Healthy,Medium,Medium,Mixed,Cat,Yes,"[3,6]",0,3,1,Black,White,
Domestic Medium Hair,No,No,No,Healthy,Medium,Small,Female,Cat,Yes,"[0,2]",0,3,2,Black,White,
Siamese,No,Yes,Yes,Healthy,Small,Medium,Male,Cat,Yes,"[6,12]",0,8,2,Brown,Cream,
Tortoiseshell,No,No,No,Healthy,Small,Medium,Mixed,Cat,No,"[0,2]",0,2,4,Black,Brown,
Mixed Breed,Yes,Yes,Yes,Healthy,Small,Medium,Mixed,Dog,No,"[24,60]",0,5,4,Black,Yellow,Cream
Doberman Pinscher,No,Yes,Yes,Healthy,Small,Large,Mixed,Dog,Yes,"[3,6]",0,4,2,Black,Brown,
Domestic Medium Hair,No,No,No,Healthy,Medium,Medium,Male,Cat,Yes,"[12,24]",0,1,3,Black,,
Mixed Breed,Yes,Yes,Yes,Healthy,Medium,Medium,Female,Dog,Yes,"[3,6]",0,10,3,Black,Brown,White
Mixed Breed,No,Not Sure,No,Healthy,Small,Medium,Male,Dog,Yes,"[0,2]",0,3,2,Black,Brown,
Calico,No,Yes,Yes,Healthy,Small,Medium,Female,Cat,Yes,"[6,12]",0,7,2,Black,Yellow,White
Domestic Long Hair,No,Yes,No,Healthy,Long,Medium,Male,Cat,Yes,"[3,6]",0,5,3,Yellow,,
Domestic Medium Hair,No,Yes,Yes,Healthy,Medium,Medium,Female,Cat,Yes,"[0,2]",0,4,2,Gray,White,
American Staffordshire Terrier,Yes,Yes,Yes,Healthy,Small,Medium,Female,Dog,Yes,"[60,255]",0,2,3,Black,White,
Domestic Medium Hair,No,No,No,Healthy,Medium,Medium,Mixed,Cat,Yes,"[3,6]",0,5,2,Black,Golden,White
Beagle,No,Yes,Yes,Healthy,Small,Medium,Male,Dog,Yes,"[60,255]",0,1,1,Brown,,
Mixed Breed,Yes,Yes,Yes,Healthy,Small,Medium,Female,Dog,Yes,"[12,24]",0,2,2,Brown,,
Domestic Short Hair,Yes,Not Sure,Not Sure,Healthy,Small,Small,Female,Cat,Yes,"[12,24]",0,3,3,Black,Brown,White
Domestic Short Hair,No,No,No,Healthy,Small,Medium,Mixed,Cat,Yes,"[0,2]",0,2,2,Yellow,Cream,White
Mixed Breed,Yes,Yes,Yes,Healthy,Medium,Medium,Male,Dog,Yes,"[24,60]",0,2,2,Black,Brown,
Mixed Breed,No,No,Yes,Healthy,Small,Medium,Female,Dog,Yes,"[3,6]",0,2,3,Black,White,
Turkish Van,Yes,Yes,Not Sure,Healthy,Medium,Medium,Female,Cat,Yes,"[12,24]",0,2,3,Golden,Cream,
Persian,No,Yes,No,Healthy,Long,Large,Male,Cat,Yes,"[12,24]",0,2,1,Black,White,
Domestic Short Hair,No,Yes,Yes,Healthy,Small,Medium,Female,Cat,Yes,"[3,6]",1,3,2,Gray,White,
Mixed Breed,No,No,No,Healthy,Medium,Medium,Mixed,Dog,No,"[0,2]",0,11,4,Black,Brown,Golden
Doberman Pinscher,Not Sure,Not Sure,Not Sure,Minor Injury,Medium,Large,Female,Dog,Yes,"[24,60]",0,4,3,Black,Brown,
Mixed Breed,Not Sure,Not Sure,Not Sure,Healthy,Small,Medium,Female,Dog,No,"[12,24]",1,1,4,Cream,White,
Mixed Breed,No,Yes,Yes,Healthy,Medium,Medium,Female,Dog,No,"[0,2]",0,1,4,Black,Brown,
Doberman Pinscher,Yes,Yes,Yes,Healthy,Small,Medium,Male,Dog,Yes,"[24,60]",0,1,2,Black,,
Domestic Medium Hair,No,No,No,Healthy,Medium,Medium,Mixed,Cat,Yes,"[0,2]",0,13,2,Black,Gray,White
Oriental Short Hair,No,No,No,Healthy,Small,Small,Female,Cat,Yes,"[0,2]",0,3,1,Yellow,White,
Mixed Breed,Not Sure,Not Sure,Not Sure,Healthy,Medium,Medium,Female,Dog,Yes,"[0,2]",0,5,1,Black,White,
Mixed Breed,No,Yes,Yes,Healthy,Small,Medium,Female,Dog,Yes,"[0,2]",0,4,1,Brown,,
Mixed Breed,No,Yes,Yes,Healthy,Small,Medium,Mixed,Dog,Yes,"[0,2]",0,3,3,Black,Yellow,White
Mixed Breed,No,No,No,Healthy,Medium,Medium,Mixed,Dog,No,"[0,2]",0,5,4,Brown,,
Tuxedo,Yes,Yes,Yes,Healthy,Medium,Medium,Mixed,Cat,No,"[24,60]",0,0,4,Black,Golden,Gray
Mixed Breed,Not Sure,Not Sure,Not Sure,Healthy,Small,Medium,Mixed,Dog,No,"[3,6]",0,1,4,Brown,Yellow,Cream
Mixed Breed,No,Yes,Yes,Healthy,Medium,Medium,Female,Dog,Yes,"[0,2]",0,4,3,Black,Brown,
Mixed Breed,Not Sure,Yes,Not Sure,Healthy,Small,Large,Female,Dog,Yes,"[0,2]",0,2,2,Brown,Cream,White
Domestic Short Hair,No,Yes,No,Healthy,Small,Medium,Female,Cat,Yes,"[0,2]",0,3,2,Black,Cream,
Siamese,No,No,No,Healthy,Small,Small,Male,Cat,Yes,"[0,2]",0,1,0,Brown,Cream,
Mixed Breed,No,Yes,Yes,Healthy,Small,Medium,Female,Dog,Yes,"[0,2]",0,9,2,Black,Brown,
Domestic Short Hair,No,Yes,Not Sure,Healthy,Small,Medium,Male,Cat,No,"[3,6]",0,3,4,Yellow,,
Mixed Breed,Yes,Yes,Yes,Healthy,Medium,Medium,Male,Dog,No,"[12,24]",0,1,4,Black,,
Mixed Breed,Not Sure,Not Sure,Not Sure,Healthy,Small,Medium,Mixed,Dog,Yes,"[0,2]",0,5,3,Black,Brown,White
Tabby,No,Yes,Yes,Healthy,Small,Large,Male,Cat,Yes,"[24,60]",0,4,2,Black,Brown,White
Domestic Short Hair,No,No,No,Healthy,Small,Medium,Male,Cat,Yes,"[0,2]",0,1,2,Black,Brown,
Domestic Short Hair,No,No,No,Healthy,Medium,Medium,Female,Cat,Yes,"[3,6]",0,4,2,Black,White,
Mixed Breed,Yes,Not Sure,Not Sure,Healthy,Small,Medium,Male,Dog,Yes,"[6,12]",0,3,2,Black,Brown,
Mixed Breed,Yes,Yes,Yes,Healthy,Small,Small,Female,Dog,No,"[3,6]",0,2,4,White,,
Mixed Breed,No,Yes,Yes,Healthy,Small,Medium,Male,Dog,Yes,"[3,6]",0,3,3,Black,White,
Domestic Short Hair,Yes,Yes,Yes,Healthy,Small,Medium,Male,Cat,No,"[60,255]",0,10,4,Black,White,
Domestic Short Hair,Not Sure,Not Sure,Not Sure,Healthy,Small,Medium,Female,Cat,No,"[12,24]",0,4,4,Black,Yellow,White
Mixed Breed,No,Yes,No,Healthy,Medium,Medium,Female,Dog,No,"[12,24]",0,2,4,Black,Brown,
Domestic Short Hair,Yes,Yes,Yes,Healthy,Small,Medium,Male,Cat,No,"[12,24]",0,2,4,Golden,White,
Beagle,No,Yes,Yes,Healthy,Small,Medium,Male,Dog,Yes,"[12,24]",0,0,3,Brown,Cream,White
Mixed Breed,No,Not Sure,Not Sure,Healthy,Medium,Medium,Male,Dog,No,"[24,60]",0,3,4,Golden,,
Mixed Breed,No,Not Sure,Not Sure,Healthy,Medium,Medium,Male,Dog,Yes,"[0,2]",0,1,3,Cream,,
Tabby,Yes,Not Sure,Not Sure,Healthy,Small,Medium,Female,Cat,No,"[3,6]",0,1,4,Black,Brown,
Mixed Breed,No,Yes,Yes,Healthy,Medium,Medium,Female,Dog,Yes,"[12,24]",0,5,2,White,,
Mixed Breed,No,No,No,Healthy,Small,Small,Male,Dog,No,"[6,12]",1,1,4,Black,White,
Mixed Breed,No,No,No,Healthy,Small,Medium,Male,Dog,Yes,"[0,2]",0,4,1,Black,Brown,
Mixed Breed,Not Sure,Yes,No,Healthy,Small,Small,Female,Dog,No,"[3,6]",0,2,4,Brown,White,
Mixed Breed,Yes,Yes,Yes,Healthy,Small,Medium,Female,Dog,No,"[24,60]",0,24,4,Brown,White,
Mixed Breed,No,No,No,Healthy,Long,Medium,Female,Dog,Yes,"[0,2]",0,3,1,Brown,,
Mixed Breed,No,No,No,Healthy,Small,Medium,Female,Dog,Yes,"[0,2]",0,1,2,Brown,,
Mixed Breed,No,Yes,Yes,Healthy,Small,Large,Male,Dog,Yes,"[3,6]",0,9,2,Golden,,
Domestic Short Hair,Not Sure,No,Yes,Healthy,Small,Small,Male,Cat,No,"[3,6]",0,4,4,Black,White,
Shih Tzu,Not Sure,Yes,Yes,Healthy,Small,Small,Female,Dog,Yes,"[12,24]",0,3,1,Cream,White,
Domestic Short Hair,No,Yes,Yes,Healthy,Small,Medium,Male,Cat,Yes,"[0,2]",0,5,2,Golden,Cream,White
Domestic Medium Hair,Not Sure,Not Sure,Not Sure,Healthy,Medium,Small,Male,Cat,No,"[0,2]",0,6,4,Cream,,
Shih Tzu,Not Sure,Yes,Yes,Healthy,Small,Medium,Male,Dog,Yes,"[6,12]",0,8,1,Brown,,
Domestic Short Hair,No,Yes,No,Healthy,Small,Medium,Female,Cat,No,"[12,24]",0,5,4,Brown,Golden,
Mixed Breed,Yes,Yes,Yes,Healthy,Small,Medium,Male,Dog,Yes,"[3,6]",0,3,3,Black,White,
Mixed Breed,No,Yes,Yes,Healthy,Small,Medium,Male,Dog,No,"[12,24]",0,1,4,Black,Brown,
Domestic Short Hair,No,Yes,Yes,Healthy,Small,Small,Male,Cat,Yes,"[3,6]",0,9,2,Black,White,
Mixed Breed,No,No,No,Healthy,Medium,Medium,Female,Dog,No,"[0,2]",0,1,4,Black,Brown,
Domestic Short Hair,Yes,Yes,Yes,Healthy,Small,Medium,Female,Cat,Yes,"[6,12]",0,8,3,Yellow,,
Mixed Breed,No,Yes,No,Healthy,Small,Medium,Female,Dog,Yes,"[0,2]",0,5,1,Yellow,Cream,White
Mixed Breed,No,No,No,Healthy,Small,Medium,Male,Dog,Yes,"[0,2]",0,2,3,Black,Brown,Cream
Domestic Short Hair,No,No,No,Healthy,Small,Large,Female,Cat,Yes,"[3,6]",0,8,1,Black,Brown,Gray
Golden Retriever,Yes,Yes,Yes,Healthy,Medium,Medium,Male,Dog,Yes,"[60,255]",0,5,3,Brown,Yellow,White
Domestic Short Hair,No,No,No,Healthy,Small,Medium,Female,Cat,No,"[0,2]",0,6,4,Black,Yellow,White
Domestic Short Hair,Yes,Yes,Yes,Healthy,Small,Medium,Female,Cat,No,"[12,24]",0,2,4,Brown,Golden,Cream
Domestic Short Hair,No,No,No,Healthy,Small,Small,Female,Cat,Yes,"[0,2]",0,5,1,Black,Yellow,White
Siamese,No,No,No,Minor Injury,Small,Medium,Mixed,Cat,Yes,"[0,2]",0,1,1,Brown,Cream,
Mixed Breed,No,Yes,Yes,Healthy,Small,Large,Mixed,Dog,Yes,"[0,2]",1,8,3,Cream,White,
Domestic Short Hair,Yes,Yes,No,Healthy,Small,Medium,Female,Cat,No,"[6,12]",0,5,4,Golden,White,
Mixed Breed,No,Not Sure,Not Sure,Healthy,Small,Large,Female,Dog,Yes,"[3,6]",0,2,2,Black,Brown,
Mixed Breed,No,Yes,No,Healthy,Medium,Medium,Female,Dog,Yes,"[0,2]",0,4,1,Black,,
Mixed Breed,No,No,No,Healthy,Small,Small,Female,Dog,Yes,"[0,2]",0,5,1,Black,Brown,White
Domestic Medium Hair,No,No,No,Healthy,Medium,Medium,Male,Cat,Yes,"[3,6]",0,3,1,Yellow,White,
Mixed Breed,Yes,Yes,Yes,Healthy,Small,Medium,Female,Dog,No,"[12,24]",0,3,4,Black,,
